initiator_role,metadata,app_version,initiator,session_id,ip_address,previous_hash,event_type,feature,action,user_agent,hash,status,id,created_date,updated_date,created_by_id,is_sample
"system","{""count"":500}","2025.5","System","sess_1771627142026_kizojxfhw","","","EXPORT_DATA","AuditLog","Exported audit logs","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/18.7 Safari/605.1.15","227c2bee0a9e44a4e5375efafeec17956df3a64945fdff7c277fe073291546a4","SUCCESS","6998e4e3f816eba8f8ef66e8","2026-02-20T22:49:07.261000","2026-02-20T22:49:07.261000","68dbfcb329e82d13ee45e2a3","false"
"system","{""logs_loaded"":500}","2025.5","User","sess_1771625723161_brz8285ih","","ea417bd16dfd3e76356cc98056d7ff4f68f1effc7a2130d3e5a3d4c8129446a7","FEATURE_ACCESS","AuditLog","Accessed AuditLog","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/18.7 Safari/605.1.15","d3a79b9016e7c687c9dd94f3f3a8c73fed6053df5802c7563bd1a80a5b2e8f78","AUTHORIZED","6998e3c584d54b0fa9d33ee1","2026-02-20T22:44:21.667000","2026-02-20T22:44:21.667000","68dbfcb329e82d13ee45e2a3","false"
"system","{""logs_loaded"":500}","2025.5","User","sess_1771625723161_brz8285ih","","ea417bd16dfd3e76356cc98056d7ff4f68f1effc7a2130d3e5a3d4c8129446a7","FEATURE_ACCESS","AuditLog","Accessed AuditLog","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/18.7 Safari/605.1.15","e110cffb0fb2672b09147333f4a9878739fa106ea1a318464f65b0cab77faf96","AUTHORIZED","6998e3c2d0fb9a8a36745d17","2026-02-20T22:44:18.794000","2026-02-20T22:44:18.794000","68dbfcb329e82d13ee45e2a3","false"
"system","{""logs_loaded"":500}","2025.5","User","sess_1771625723161_brz8285ih","","ea417bd16dfd3e76356cc98056d7ff4f68f1effc7a2130d3e5a3d4c8129446a7","FEATURE_ACCESS","AuditLog","Accessed AuditLog","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/18.7 Safari/605.1.15","ec69234e1ba2785eb3e480229c5329edb00cd1d0f753b052695bebc6cb93b296","AUTHORIZED","6998e3c22877c333757871c9","2026-02-20T22:44:18.378000","2026-02-20T22:44:18.378000","68dbfcb329e82d13ee45e2a3","false"
"system","{""logs_loaded"":500}","2025.5","User","sess_1771625723161_brz8285ih","","ea417bd16dfd3e76356cc98056d7ff4f68f1effc7a2130d3e5a3d4c8129446a7","FEATURE_ACCESS","AuditLog","Accessed AuditLog","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/18.7 Safari/605.1.15","e42eefa8768327f1cf5e69c75835a441e9f9b8af817a73057ee7370513479a72","AUTHORIZED","6998e3c2731a39a1e6c55be7","2026-02-20T22:44:18.156000","2026-02-20T22:44:18.156000","68dbfcb329e82d13ee45e2a3","false"
"system","{""logs_loaded"":500}","2025.5","User","sess_1771625723161_brz8285ih","","ea417bd16dfd3e76356cc98056d7ff4f68f1effc7a2130d3e5a3d4c8129446a7","FEATURE_ACCESS","AuditLog","Accessed AuditLog","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/18.7 Safari/605.1.15","8118951a6cbdd87ced0ac1e0b7bf1ac1bceb94eb3e0cb19e9c6d9c035ad03058","AUTHORIZED","6998e3c1a4b6d6a93ba1a30b","2026-02-20T22:44:17.936000","2026-02-20T22:44:17.936000","68dbfcb329e82d13ee45e2a3","false"
"system","{""logs_loaded"":500}","2025.5","User","sess_1771625723161_brz8285ih","","ea417bd16dfd3e76356cc98056d7ff4f68f1effc7a2130d3e5a3d4c8129446a7","FEATURE_ACCESS","AuditLog","Accessed AuditLog","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/18.7 Safari/605.1.15","ffa7e8a9631f97ee2cd4e502e4c23b135bdc2e9f3e2b63d263faba3618c9c6cf","AUTHORIZED","6998e3c10c935efa28d44522","2026-02-20T22:44:17.485000","2026-02-20T22:44:17.485000","68dbfcb329e82d13ee45e2a3","false"
"system","{""logs_loaded"":500}","2025.5","User","sess_1771625723161_brz8285ih","","ea417bd16dfd3e76356cc98056d7ff4f68f1effc7a2130d3e5a3d4c8129446a7","FEATURE_ACCESS","AuditLog","Accessed AuditLog","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/18.7 Safari/605.1.15","f61e78502779a6478569896fa0c40f7e98c58698689c65df395cf831b8ff26d0","AUTHORIZED","6998e3c03bb62e5e82b5b278","2026-02-20T22:44:16.433000","2026-02-20T22:44:16.433000","68dbfcb329e82d13ee45e2a3","false"
"system","{""logs_loaded"":500}","2025.5","User","sess_1771625723161_brz8285ih","","ea417bd16dfd3e76356cc98056d7ff4f68f1effc7a2130d3e5a3d4c8129446a7","FEATURE_ACCESS","AuditLog","Accessed AuditLog","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/18.7 Safari/605.1.15","293c212be9eefdebee738930177cd92487210a5d6bf2d774602cd0d1f71de765","AUTHORIZED","6998e3c0327c5fa2f75bfeb2","2026-02-20T22:44:16.089000","2026-02-20T22:44:16.089000","68dbfcb329e82d13ee45e2a3","false"
"system","{""logs_loaded"":500}","2025.5","User","sess_1771625723161_brz8285ih","","ea417bd16dfd3e76356cc98056d7ff4f68f1effc7a2130d3e5a3d4c8129446a7","FEATURE_ACCESS","AuditLog","Accessed AuditLog","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/18.7 Safari/605.1.15","3f051f88d1c96ffce165405249ef591e28465ca49d613425fe644508424ca824","AUTHORIZED","6998e3bfa36ed8d927a2e90c","2026-02-20T22:44:15.709000","2026-02-20T22:44:15.709000","68dbfcb329e82d13ee45e2a3","false"
"system","{""logs_loaded"":500}","2025.5","User","sess_1771625723161_brz8285ih","","ea417bd16dfd3e76356cc98056d7ff4f68f1effc7a2130d3e5a3d4c8129446a7","FEATURE_ACCESS","AuditLog","Accessed AuditLog","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/18.7 Safari/605.1.15","47903d01eb098869f0cab1b8bcb9eadbda75835ad4199975833edf7cd49fa430","AUTHORIZED","6998e3bf541077eca4ce0926","2026-02-20T22:44:15.258000","2026-02-20T22:44:15.258000","68dbfcb329e82d13ee45e2a3","false"
"system","{""logs_loaded"":500}","2025.5","User","sess_1771625723161_brz8285ih","","ea417bd16dfd3e76356cc98056d7ff4f68f1effc7a2130d3e5a3d4c8129446a7","FEATURE_ACCESS","AuditLog","Accessed AuditLog","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/18.7 Safari/605.1.15","2643e90ca34bdb24fd9fc3abce926d863b14c18c727a971f24670d09d7b0e4a4","AUTHORIZED","6998e3bb906b636617802028","2026-02-20T22:44:11.408000","2026-02-20T22:44:11.408000","68dbfcb329e82d13ee45e2a3","false"
"system","{""logs_loaded"":500}","2025.5","User","sess_1771625723161_brz8285ih","","ea417bd16dfd3e76356cc98056d7ff4f68f1effc7a2130d3e5a3d4c8129446a7","FEATURE_ACCESS","AuditLog","Accessed AuditLog","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/18.7 Safari/605.1.15","f58c868735e53e64477b8f01ccd4561c222b537cab52f24ae57ec53090ca96b4","AUTHORIZED","6998e3b72c4b65244182ec2b","2026-02-20T22:44:07.964000","2026-02-20T22:44:07.964000","68dbfcb329e82d13ee45e2a3","false"
"system","{""logs_loaded"":500}","2025.5","User","sess_1771625723161_brz8285ih","","ea417bd16dfd3e76356cc98056d7ff4f68f1effc7a2130d3e5a3d4c8129446a7","FEATURE_ACCESS","AuditLog","Accessed AuditLog","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/18.7 Safari/605.1.15","ffb071ba4e840ed5694d6b30d18969c2337fe95fd249fe9f2c68160f84f75e76","AUTHORIZED","6998e3b616c9a0b2f9f77263","2026-02-20T22:44:06.674000","2026-02-20T22:44:06.674000","68dbfcb329e82d13ee45e2a3","false"
"system","{""logs_loaded"":500}","2025.5","User","sess_1771625723161_brz8285ih","","ea417bd16dfd3e76356cc98056d7ff4f68f1effc7a2130d3e5a3d4c8129446a7","FEATURE_ACCESS","AuditLog","Accessed AuditLog","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/18.7 Safari/605.1.15","574c92a843407dcef69be892fb142d5489fd1bbd961ac3d1e0f44ae451d6eb71","AUTHORIZED","6998e3b619bbf38b120b7612","2026-02-20T22:44:06.482000","2026-02-20T22:44:06.482000","68dbfcb329e82d13ee45e2a3","false"
"system","{""logs_loaded"":500}","2025.5","User","sess_1771625723161_brz8285ih","","c33bec39be1e47f1b41aa03947af38b5011bd7cb8ba4e0d0c702300e8cb01c81","FEATURE_ACCESS","AuditLog","Accessed AuditLog","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/18.7 Safari/605.1.15","ea417bd16dfd3e76356cc98056d7ff4f68f1effc7a2130d3e5a3d4c8129446a7","AUTHORIZED","6998e3b6bff4fd9388150ac7","2026-02-20T22:44:06.072000","2026-02-20T22:44:06.072000","68dbfcb329e82d13ee45e2a3","false"
"system","{""logs_loaded"":500}","2025.5","User","sess_1771625723161_brz8285ih","","c33bec39be1e47f1b41aa03947af38b5011bd7cb8ba4e0d0c702300e8cb01c81","FEATURE_ACCESS","AuditLog","Accessed AuditLog","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/18.7 Safari/605.1.15","0001bfe2b901c224f7ecc8f44028dc5e4c9093127a0bdf3b49045d51b7c0e78c","AUTHORIZED","6998e3b5977469e61f39618f","2026-02-20T22:44:05.530000","2026-02-20T22:44:05.530000","68dbfcb329e82d13ee45e2a3","false"
"system","{""logs_loaded"":500}","2025.5","User","sess_1771625723161_brz8285ih","","c33bec39be1e47f1b41aa03947af38b5011bd7cb8ba4e0d0c702300e8cb01c81","FEATURE_ACCESS","AuditLog","Accessed AuditLog","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/18.7 Safari/605.1.15","5e31c6d8904799edc46da0a8a10177b6092a53dff74031ed811e314228b0f6cc","AUTHORIZED","6998e3b5388c36fe142b0c63","2026-02-20T22:44:05.266000","2026-02-20T22:44:05.266000","68dbfcb329e82d13ee45e2a3","false"
"system","{""logs_loaded"":500}","2025.5","User","sess_1771625723161_brz8285ih","","6001167a54ad4c482d6c0ed4119ef870d4ed6af2f0c6e53ab17ba28cd1fcbf96","FEATURE_ACCESS","AuditLog","Accessed AuditLog","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/18.7 Safari/605.1.15","c33bec39be1e47f1b41aa03947af38b5011bd7cb8ba4e0d0c702300e8cb01c81","AUTHORIZED","6998e3b4dfc234aa306cba30","2026-02-20T22:44:04.901000","2026-02-20T22:44:04.901000","68dbfcb329e82d13ee45e2a3","false"
"system","{""logs_loaded"":500}","2025.5","User","sess_1771625723161_brz8285ih","","6001167a54ad4c482d6c0ed4119ef870d4ed6af2f0c6e53ab17ba28cd1fcbf96","FEATURE_ACCESS","AuditLog","Accessed AuditLog","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/18.7 Safari/605.1.15","0d2cff0352d7cd272d39163583105239a84531ac81536073ebe7c91004b5b7d2","AUTHORIZED","6998e3b219c96f5fcba5acf3","2026-02-20T22:44:02.949000","2026-02-20T22:44:02.949000","68dbfcb329e82d13ee45e2a3","false"
"system","{""logs_loaded"":500}","2025.5","User","sess_1771625723161_brz8285ih","","6001167a54ad4c482d6c0ed4119ef870d4ed6af2f0c6e53ab17ba28cd1fcbf96","FEATURE_ACCESS","AuditLog","Accessed AuditLog","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/18.7 Safari/605.1.15","788443f13b73bcc0b042a6c3f4affe77d0897249c368289712aa84166b833ecc","AUTHORIZED","6998e3b123334ae269da5748","2026-02-20T22:44:01.347000","2026-02-20T22:44:01.347000","68dbfcb329e82d13ee45e2a3","false"
"system","{""logs_loaded"":500}","2025.5","User","sess_1771625723161_brz8285ih","","6001167a54ad4c482d6c0ed4119ef870d4ed6af2f0c6e53ab17ba28cd1fcbf96","FEATURE_ACCESS","AuditLog","Accessed AuditLog","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/18.7 Safari/605.1.15","1d2af2bd143884976566e82b8687641de507039d61c58390bf9bb3acfa65d18e","AUTHORIZED","6998e3aeb99daef54e7b4d0d","2026-02-20T22:43:58.904000","2026-02-20T22:43:58.904000","68dbfcb329e82d13ee45e2a3","false"
"system","{""logs_loaded"":500}","2025.5","User","sess_1771625723161_brz8285ih","","6001167a54ad4c482d6c0ed4119ef870d4ed6af2f0c6e53ab17ba28cd1fcbf96","FEATURE_ACCESS","AuditLog","Accessed AuditLog","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/18.7 Safari/605.1.15","8cbcf20d0662b75249682d5f8fc30a925be0420dfbd9052b08078cc5d38b1493","AUTHORIZED","6998e3ae5ff3fdebb5cbde6a","2026-02-20T22:43:58.650000","2026-02-20T22:43:58.650000","68dbfcb329e82d13ee45e2a3","false"
"system","{""logs_loaded"":500}","2025.5","User","sess_1771625723161_brz8285ih","","6001167a54ad4c482d6c0ed4119ef870d4ed6af2f0c6e53ab17ba28cd1fcbf96","FEATURE_ACCESS","AuditLog","Accessed AuditLog","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/18.7 Safari/605.1.15","78cdbaf7910586a85e8290f2b8fb78a9cd27cb89a52895d04412450cf4288c6b","AUTHORIZED","6998e3ae65768724e0e27c80","2026-02-20T22:43:58.477000","2026-02-20T22:43:58.477000","68dbfcb329e82d13ee45e2a3","false"
"system","{""logs_loaded"":500}","2025.5","User","sess_1771625723161_brz8285ih","","6001167a54ad4c482d6c0ed4119ef870d4ed6af2f0c6e53ab17ba28cd1fcbf96","FEATURE_ACCESS","AuditLog","Accessed AuditLog","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/18.7 Safari/605.1.15","6af26e389ed1bb192300d1277f349693b54e836e9b23e6c71bf170968404669a","AUTHORIZED","6998e3ae7506d78560ee75fc","2026-02-20T22:43:58.309000","2026-02-20T22:43:58.309000","68dbfcb329e82d13ee45e2a3","false"
